0.5	1373	120	12	0.0991	49.51771
1	1373	120	12	0.12312	50.36202
2	1373	120	12	0.13504	48.85665
5	1373	120	12	0.30013	41.39288
10	1373	120	12	0.11815	43.37312
20	1373	120	12	0.18337	39.79121
50	1373	120	12	0.2704	36.19118
100	1373	120	12	0.3046	32.61214
300	1373	120	12	0.44626	26.49677
1000	1373	120	12	0.52005	19.77134
0.5	1323	120	12	0.09349	55.42025
1	1323	120	12	0.10612	53.39346
2	1323	120	12	0.11522	50.91315
5	1323	120	12	0.17607	47.52187
10	1323	120	12	0.1124	41.93347
20	1323	120	12	0.1165	43.79303
50	1323	120	12	0.15539	40.03967
100	1323	120	12	0.19833	36.99849
300	1323	120	12	0.28787	33.50235
1000	1323	120	12	0.36138	26.20074
0.5	1273	120	12	0.08922	59.73201
1	1273	120	12	0.07579	57.57423
2	1273	120	12	0.12196	55.36914
5	1273	120	12	0.19298	50.73655
10	1273	120	12	0.10735	46.24707
20	1273	120	12	0.06789	48.4849
50	1273	120	12	0.13938	47.18258
100	1273	120	12	0.168	43.37081
300	1273	120	12	0.203	38.74782
1000	1273	120	12	0.3099	31.25799
0.5	1223	120	12	0.11344	62.67162
1	1223	120	12	0.08218	57.48606
2	1223	120	12	0.11619	56.14884
5	1223	120	12	0.17222	53.1093
10	1223	120	12	0.07389	47.41545
20	1223	120	12	0.06518	50.28733
50	1223	120	12	0.11521	48.4251
100	1223	120	12	0.11801	46.06618
300	1223	120	12	0.17493	40.5862
1000	1223	120	12	0.26189	35.98957
0.5	1373	77	11	0.02396	50.75517
1	1373	77	11	0.04712	46.27642
2	1373	77	11	0.07315	44.72043
5	1373	77	11	0.15502	50.58047
10	1373	77	11	0.15787	40.95898
20	1373	77	11	0.14877	41.2701
50	1373	77	11	0.21097	36.84952
100	1373	77	11	0.25058	33.04399
300	1373	77	11	0.36521	25.87569
1000	1373	77	11	0.47449	18.72147
0.5	1323	77	11	0.02812	56.08879
1	1323	77	11	0.04209	54.66314
2	1323	77	11	0.05415	53.75775
5	1323	77	11	0.07423	55.15932
10	1323	77	11	0.12613	49.01762
20	1323	77	11	0.10894	48.88175
50	1323	77	11	0.15111	46.88483
100	1323	77	11	0.18799	45.32655
300	1323	77	11	0.23042	36.53016
1000	1323	77	11	0.30752	30.06879
0.5	1273	77	11	0.01647	57.65132
1	1273	77	11	0.05307	55.9805
2	1273	77	11	0.05731	55.13426
5	1273	77	11	0.10918	57.20727
10	1273	77	11	0.10585	48.85731
20	1273	77	11	0.07442	50.98266
50	1273	77	11	0.09947	50.98287
100	1273	77	11	0.12085	49.50744
300	1273	77	11	0.17156	43.66082
1000	1273	77	11	0.21328	38.59029
0.5	1223	77	11	0.01022	68.91811
1	1223	77	11	0.03846	64.26101
2	1223	77	11	0.08252	63.28747
5	1223	77	11	0.08	60.66516
10	1223	77	11	0.08634	55.6713
20	1223	77	11	0.05247	56.53274
50	1223	77	11	0.0715	53.93339
100	1223	77	11	0.09899	51.18527
300	1223	77	11	0.1274	47.80467
1000	1223	77	11	0.13766	43.27539
0.5	1373	10	6.2	0.04488	53.601
1	1373	10	6.2	0.05492	51.78971
2	1373	10	6.2	0.07771	46.95201
5	1373	10	6.2	0.09201	52.45923
10	1373	10	6.2	0.09898	47.09191
20	1373	10	6.2	0.08803	48.15592
50	1373	10	6.2	0.12308	42.43592
100	1373	10	6.2	0.15316	40.50444
300	1373	10	6.2	0.22856	38.28621
1000	1373	10	6.2	0.27789	34.7234
0.5	1323	10	6.2	0.02942	55.90365
1	1323	10	6.2	0.04349	55.72365
2	1323	10	6.2	0.04776	56.58398
5	1323	10	6.2	0.05558	56.39229
10	1323	10	6.2	0.06917	55.11403
20	1323	10	6.2	0.07299	52.77597
50	1323	10	6.2	0.07614	51.47805
100	1323	10	6.2	0.08354	49.83178
300	1323	10	6.2	0.11234	46.80271
1000	1323	10	6.2	0.18644	43.04722
0.5	1273	10	6.2	0.00577	59.91864
1	1273	10	6.2	0.00741	58.72206
2	1273	10	6.2	0.01009	58.97784
5	1273	10	6.2	0.01009	58.97784
10	1273	10	6.2	0.022	58.00929
20	1273	10	6.2	0.02648	55.69728
50	1273	10	6.2	0.03329	54.70538
100	1273	10	6.2	0.03019	54.50091
300	1273	10	6.2	0.05915	51.47978
1000	1273	10	6.2	0.10053	51.23874
10	1223	10	6.2	0.01027	63.50369
20	1223	10	6.2	0.01793	62.22849
50	1223	10	6.2	0.02054	58.66019
100	1223	10	6.2	0.01981	56.87212
300	1223	10	6.2	0.03923	55.80834
1000	1223	10	6.2	0.03318	53.87366
